Senior	Engineer	Junior	Principal	Software	Salary
0	1	0	0	1	114000
0	1	0	1	1	232000
0	1	0	0	1	102000
0	1	0	1	1	222000
1	1	0	0	1	182000
1	1	0	0	1	164000
0	1	1	0	1	99000
0	1	0	1	1	271000
1	1	0	0	1	164000
0	1	1	0	1	97000
1	1	0	0	1	154000
0	1	1	0	1	87000
1	1	0	0	1	176000
1	1	0	0	1	190000
0	1	0	1	1	247000
0	1	1	0	1	85000
0	1	0	0	1	110000
0	1	0	1	1	312000
0	1	0	0	1	101000
0	1	1	0	1	93000
1	1	0	0	1	155000
0	1	0	0	1	110000
0	1	0	0	1	102000
1	1	0	0	1	189000
0	1	0	1	1	235000
0	1	1	0	1	91000
0	1	1	0	1	96000
0	1	1	0	1	88000
1	1	0	0	1	160000
0	1	0	0	1	101000
1	1	0	0	1	173000
0	1	0	0	1	101000
0	1	1	0	1	87000
0	1	0	0	1	118000
1	1	0	0	1	162000
1	1	0	0	1	183000
0	1	0	1	1	298000
0	1	0	0	1	103000
1	1	0	0	1	205000
0	1	0	0	1	118000
0	1	0	1	1	320000
0	1	0	1	1	298000
0	1	1	0	1	89000
0	1	1	0	1	96000
0	1	1	0	1	96000
0	1	0	1	1	254000
0	1	1	0	1	88000
0	1	1	0	1	85000
1	1	0	0	1	173000
0	1	0	0	1	118000
0	1	0	0	1	110000
0	1	1	0	1	96000
0	1	1	0	1	83000
0	1	0	1	1	258000
0	1	0	1	1	284000
1	1	0	0	1	167000
1	1	0	0	1	219000
1	1	0	0	1	170000
0	1	0	1	1	229000
0	1	0	0	1	106000
0	1	1	0	1	99000
0	1	0	1	1	248000
0	1	1	0	1	96000
0	1	0	1	1	312000
0	1	0	0	1	116000
1	1	0	0	1	156000
0	1	0	1	1	273000
0	1	0	0	1	112000
0	1	0	0	1	110000
1	1	0	0	1	203000
0	1	1	0	1	85000
0	1	0	0	1	106000
1	1	0	0	1	171000
1	1	0	0	1	155000
0	1	1	0	1	97000
0	1	0	0	1	105000
0	1	1	0	1	83000
0	1	0	0	1	108000
0	1	0	0	1	102000
0	1	0	1	1	224000
0	1	1	0	1	92000
0	1	1	0	1	92000
0	1	0	0	1	101000
1	1	0	0	1	185000
0	1	0	0	1	113000
0	1	0	1	1	268000
1	1	0	0	1	171000
0	1	0	1	1	273000
0	1	0	1	1	259000
0	1	0	0	1	113000
0	1	0	0	1	111000
1	1	0	0	1	207000
1	1	0	0	1	183000
0	1	0	1	1	260000
0	1	0	1	1	256000
1	1	0	0	1	158000
0	1	1	0	1	82000
0	1	0	1	1	307000
1	1	0	0	1	194000
0	1	1	0	1	99000
0	1	0	0	1	111000
0	1	0	1	1	315000
0	1	1	0	1	84000
1	1	0	0	1	215000
0	1	1	0	1	98000
1	1	0	0	1	145000
0	1	1	0	1	88000
0	1	1	0	1	90000
0	1	0	1	1	247000
0	1	1	0	1	83000
0	1	1	0	1	97000
0	1	0	0	1	108000
0	1	0	1	1	265000
0	1	0	1	1	289000
0	1	0	1	1	316000
0	1	1	0	1	99000
0	1	0	1	1	280000
0	1	1	0	1	83000
1	1	0	0	1	166000
1	1	0	0	1	146000
0	1	0	1	1	267000
0	1	0	1	1	235000
0	1	0	0	1	111000
0	1	0	0	1	112000
0	1	1	0	1	98000
0	1	1	0	1	80000
1	1	0	0	1	191000
0	1	1	0	1	97000
0	1	0	1	1	278000
0	1	0	0	1	100000
0	1	1	0	1	91000
0	1	1	0	1	88000
0	1	0	0	1	110000
0	1	1	0	1	84000
0	1	0	1	1	263000
0	1	1	0	1	92000
1	1	0	0	1	193000
0	1	1	0	1	89000
0	1	0	1	1	223000
1	1	0	0	1	172000
0	1	0	1	1	273000
1	1	0	0	1	197000
1	1	0	0	1	142000
0	1	0	0	1	101000
1	1	0	0	1	176000
0	1	0	0	1	109000
1	1	0	0	1	170000
0	1	0	0	1	119000
0	1	0	0	1	112000
0	1	1	0	1	89000
0	1	1	0	1	89000
0	1	0	1	1	300000
1	1	0	0	1	212000
1	1	0	0	1	195000
0	1	0	1	1	269000
0	1	0	1	1	234000
0	1	0	0	1	104000
0	1	0	1	1	297000
0	1	0	1	1	227000
0	1	0	0	1	116000
0	1	0	0	1	104000
0	1	1	0	1	94000
0	1	1	0	1	96000
1	1	0	0	1	159000
0	1	1	0	1	80000
1	1	0	0	1	199000
1	1	0	0	1	141000
0	1	0	1	1	280000
0	1	0	1	1	302000
0	1	0	0	1	119000
1	1	0	0	1	194000
0	1	0	1	1	263000
1	1	0	0	1	206000
0	1	0	0	1	108000
0	1	0	1	1	259000
1	1	0	0	1	145000
0	1	1	0	1	91000
0	1	0	0	1	118000
1	1	0	0	1	182000
1	1	0	0	1	193000
0	1	1	0	1	94000
0	1	0	1	1	260000
1	1	0	0	1	151000
0	1	0	0	1	118000
0	1	0	0	1	113000
0	1	0	0	1	103000
0	1	1	0	1	97000
0	1	0	1	1	278000
0	1	1	0	1	90000
1	1	0	0	1	174000
0	1	0	1	1	277000
0	1	1	0	1	80000
0	1	0	1	1	233000
1	1	0	0	1	167000
0	1	0	0	1	107000
0	1	0	1	1	221000
1	1	0	0	1	170000
0	1	0	1	1	310000
0	1	0	1	1	280000
0	1	1	0	1	91000
1	1	0	0	1	171000
0	1	0	0	1	116000
0	1	0	1	1	261000
0	1	1	0	1	86000
0	1	0	1	1	246000
1	1	0	0	1	150000
1	1	0	0	1	197000
1	1	0	0	1	200000
1	1	0	0	1	195000
0	1	0	1	1	228000
0	1	1	0	1	91000
0	1	0	1	1	274000
0	1	0	0	1	104000
0	1	0	0	1	106000
0	1	0	0	1	118000
0	1	0	0	1	117000
0	1	0	1	1	300000
0	1	0	1	1	312000
1	1	0	0	1	185000
1	1	0	0	1	164000
0	1	0	1	1	318000
0	1	1	0	1	87000
0	1	0	1	1	303000
0	1	0	1	1	267000
1	1	0	0	1	169000
0	1	0	1	1	292000
1	1	0	0	1	155000
1	1	0	0	1	176000
0	1	1	0	1	94000
0	1	0	0	1	103000
0	1	0	0	1	119000
0	1	0	0	1	116000
1	1	0	0	1	166000
0	1	1	0	1	86000
1	1	0	0	1	210000
0	1	0	0	1	119000
0	1	0	0	1	101000
1	1	0	0	1	158000
0	1	0	0	1	112000
0	1	1	0	1	82000
1	1	0	0	1	162000
0	1	1	0	1	81000
0	1	0	1	1	224000
0	1	0	0	1	116000
1	1	0	0	1	210000
0	1	0	1	1	264000
0	1	1	0	1	83000
1	1	0	0	1	167000
0	1	0	1	1	287000
0	1	0	1	1	317000
0	1	0	0	1	107000
1	1	0	0	1	201000
1	1	0	0	1	218000
1	1	0	0	1	215000
0	1	0	1	1	290000
0	1	0	1	1	288000
1	1	0	0	1	158000
0	1	0	1	1	265000
0	1	0	1	1	229000
0	1	0	0	1	101000
1	1	0	0	1	162000
0	1	0	1	1	300000
0	1	0	1	1	237000
0	1	0	0	1	119000
0	1	1	0	1	97000
0	1	1	0	1	82000
0	1	0	1	1	276000
0	1	1	0	1	81000
0	1	0	0	1	119000
0	1	0	1	1	226000
0	1	0	0	1	109000
0	1	1	0	1	89000
1	1	0	0	1	200000
1	1	0	0	1	143000
0	1	0	1	1	232000
0	1	1	0	1	88000
0	1	0	0	1	117000
0	1	0	1	1	268000
1	1	0	0	1	215000
0	1	1	0	1	82000
0	1	1	0	1	86000
0	1	1	0	1	92000
0	1	1	0	1	97000
1	1	0	0	1	175000
0	1	0	0	1	109000
0	1	0	1	1	267000
0	1	0	0	1	116000
1	1	0	0	1	199000
0	1	0	1	1	248000
0	1	1	0	1	97000
0	1	1	0	1	83000
0	1	0	0	1	117000
0	1	0	0	1	116000
1	1	0	0	1	215000
0	1	1	0	1	96000
1	1	0	0	1	154000
0	1	1	0	1	96000
0	1	0	0	1	106000
0	1	1	0	1	92000
0	1	0	1	1	242000
0	1	0	1	1	295000
1	1	0	0	1	147000
1	1	0	0	1	158000
0	1	0	0	1	112000
0	1	0	1	1	246000
0	1	1	0	1	88000
0	1	1	0	1	85000
0	1	0	0	1	102000
0	1	0	0	1	114000
0	1	1	0	1	85000
0	1	0	0	1	119000
0	1	1	0	1	100000
0	1	0	0	1	114000
1	1	0	0	1	202000
0	1	1	0	1	81000
0	1	1	0	1	86000
1	1	0	0	1	142000
1	1	0	0	1	189000
0	1	1	0	1	93000
0	1	0	1	1	276000
0	1	0	1	1	253000
0	1	0	0	1	112000
0	1	0	0	1	106000
1	1	0	0	1	183000
0	1	1	0	1	96000
0	1	0	0	1	101000
0	1	0	1	1	235000
0	1	1	0	1	94000
0	1	1	0	1	87000
1	1	0	0	1	165000
0	1	0	0	1	113000
0	1	0	0	1	117000
0	1	1	0	1	94000
0	1	1	0	1	82000
0	1	0	0	1	103000
1	1	0	0	1	208000
0	1	0	0	1	120000
0	1	0	0	1	104000
1	1	0	0	1	176000
1	1	0	0	1	151000
0	1	1	0	1	86000
0	1	0	0	1	119000
0	1	0	0	1	104000
0	1	1	0	1	97000
1	1	0	0	1	205000
0	1	0	0	1	105000
1	1	0	0	1	190000
0	1	0	0	1	113000
0	1	0	0	1	112000
1	1	0	0	1	174000
0	1	0	1	1	286000
1	1	0	0	1	200000
0	1	1	0	1	82000
1	1	0	0	1	150000
0	1	0	1	1	233000
0	1	1	0	1	84000
1	1	0	0	1	180000
1	1	0	0	1	209000
0	1	1	0	1	97000
0	1	0	0	1	118000
0	1	0	0	1	117000
0	1	0	1	1	311000
0	1	1	0	1	81000
0	1	0	1	1	269000
0	1	1	0	1	93000
1	1	0	0	1	153000
0	1	1	0	1	85000
1	1	0	0	1	209000
1	1	0	0	1	208000
0	1	0	1	1	246000
1	1	0	0	1	211000
1	1	0	0	1	214000
0	1	0	1	1	295000
1	1	0	0	1	164000
0	1	0	1	1	275000
1	1	0	0	1	219000
0	1	0	0	1	107000
1	1	0	0	1	146000
0	1	1	0	1	99000
0	1	0	0	1	103000
0	1	0	0	1	113000
0	1	1	0	1	93000
0	1	0	1	1	226000
0	1	0	1	1	287000
0	1	0	1	1	270000
1	1	0	0	1	182000
0	1	0	0	1	113000
0	1	0	0	1	108000
0	1	1	0	1	86000
0	1	0	0	1	102000
1	1	0	0	1	180000
0	1	1	0	1	89000
0	1	0	1	1	261000
1	1	0	0	1	183000
0	1	0	1	1	271000
0	1	1	0	1	85000
1	1	0	0	1	166000
0	1	0	1	1	243000
1	1	0	0	1	145000
0	1	1	0	1	99000
0	1	1	0	1	93000
0	1	0	0	1	106000
0	1	1	0	1	81000
0	1	0	0	1	118000
1	1	0	0	1	187000
1	1	0	0	1	193000
0	1	0	0	1	107000
1	1	0	0	1	141000
1	1	0	0	1	188000
0	1	0	0	1	107000
0	1	0	1	1	253000
0	1	1	0	1	91000
0	1	1	0	1	90000
0	1	0	0	1	109000
0	1	1	0	1	99000
1	1	0	0	1	199000
0	1	1	0	1	82000
0	1	0	1	1	247000
0	1	1	0	1	92000
1	1	0	0	1	192000
0	1	1	0	1	81000
0	1	1	0	1	83000
0	1	0	1	1	319000
0	1	0	0	1	118000
0	1	0	0	1	118000
0	1	1	0	1	98000
0	1	0	1	1	242000
1	1	0	0	1	149000
0	1	0	0	1	118000
0	1	0	0	1	115000
0	1	1	0	1	81000
0	1	0	1	1	279000
0	1	0	0	1	108000
0	1	0	0	1	115000
1	1	0	0	1	181000
1	1	0	0	1	171000
0	1	0	1	1	277000
0	1	1	0	1	91000
0	1	1	0	1	97000
0	1	0	1	1	278000
0	1	1	0	1	100000
0	1	1	0	1	83000
0	1	1	0	1	94000
0	1	0	1	1	304000
0	1	1	0	1	80000
0	1	0	1	1	320000
1	1	0	0	1	176000
0	1	0	0	1	119000
1	1	0	0	1	187000
0	1	0	1	1	307000
0	1	0	0	1	112000
0	1	0	0	1	103000
0	1	0	1	1	251000
0	1	1	0	1	99000
0	1	0	1	1	272000
0	1	1	0	1	86000
0	1	0	0	1	102000
0	1	0	0	1	114000
0	1	1	0	1	83000
0	1	0	1	1	300000
1	1	0	0	1	165000
0	1	1	0	1	85000
0	1	1	0	1	89000
0	1	0	0	1	119000
1	1	0	0	1	209000
0	1	0	1	1	253000
0	1	0	1	1	305000
1	1	0	0	1	197000
0	1	0	1	1	277000
0	1	0	1	1	294000
0	1	0	0	1	108000
0	1	0	0	1	111000
0	1	0	0	1	120000
0	1	0	0	1	111000
0	1	1	0	1	97000
0	1	0	1	1	251000
1	1	0	0	1	218000
0	1	0	1	1	320000
0	1	0	1	1	226000
0	1	0	0	1	118000
0	1	0	1	1	269000
0	1	1	0	1	89000
1	1	0	0	1	146000
0	1	0	0	1	103000
0	1	0	0	1	102000
0	1	1	0	1	86000
0	1	1	0	1	83000
0	1	0	0	1	103000
0	1	0	0	1	120000
0	1	0	0	1	111000
1	1	0	0	1	158000
0	1	0	1	1	243000
0	1	0	1	1	319000
0	1	1	0	1	97000
0	1	1	0	1	81000
0	1	0	1	1	271000
0	1	1	0	1	96000
0	1	0	0	1	108000
0	1	0	0	1	108000
0	1	1	0	1	92000
1	1	0	0	1	191000
0	1	0	1	1	252000
0	1	0	0	1	104000
0	1	0	1	1	236000
0	1	0	0	1	102000
1	1	0	0	1	187000
0	1	1	0	1	96000
1	1	0	0	1	193000
0	1	1	0	1	99000
0	1	0	1	1	243000
0	1	1	0	1	85000
0	1	0	1	1	227000
0	1	0	0	1	112000
0	1	0	0	1	106000
0	1	0	0	1	112000
0	1	1	0	1	96000
1	1	0	0	1	163000
0	1	0	1	1	311000
0	1	1	0	1	90000
1	1	0	0	1	201000
0	1	1	0	1	84000
1	1	0	0	1	176000
0	1	0	0	1	102000
1	1	0	0	1	151000
0	1	1	0	1	97000
0	1	0	0	1	111000
0	1	1	0	1	88000
0	1	0	1	1	299000
0	1	0	0	1	105000
1	1	0	0	1	216000
0	1	0	1	1	319000
0	1	0	1	1	301000
1	1	0	0	1	209000
0	1	1	0	1	84000
0	1	1	0	1	82000
0	1	1	0	1	95000
0	1	1	0	1	98000
1	1	0	0	1	170000
0	1	0	1	1	229000
0	1	0	0	1	117000
0	1	1	0	1	91000
1	1	0	0	1	212000
1	1	0	0	1	209000
0	1	0	0	1	104000
0	1	0	1	1	265000
0	1	1	0	1	81000
0	1	0	1	1	279000
1	1	0	0	1	160000
0	1	0	1	1	228000
1	1	0	0	1	200000
0	1	0	0	1	107000
1	1	0	0	1	160000
0	1	0	1	1	289000
1	1	0	0	1	152000
0	1	1	0	1	94000
0	1	0	0	1	120000
0	1	1	0	1	93000
0	1	0	0	1	116000
0	1	0	0	1	120000
0	1	0	1	1	255000
0	1	0	0	1	103000
0	1	1	0	1	92000
0	1	0	1	1	288000
1	1	0	0	1	156000
0	1	0	0	1	103000
0	1	0	0	1	104000
0	1	0	0	1	107000
0	1	0	1	1	245000
0	1	0	1	1	225000
0	1	0	0	1	105000
0	1	1	0	1	84000
1	1	0	0	1	201000
0	1	1	0	1	99000
0	1	0	1	1	301000
0	1	1	0	1	98000
0	1	0	0	1	111000
0	1	0	1	1	266000
0	1	0	0	1	106000
0	1	0	0	1	120000
0	1	0	0	1	106000
0	1	0	0	1	102000
0	1	0	0	1	101000
0	1	0	1	1	280000
1	1	0	0	1	199000
1	1	0	0	1	171000
0	1	0	0	1	103000
0	1	0	1	1	304000
0	1	1	0	1	94000
0	1	0	1	1	304000
0	1	1	0	1	82000
0	1	0	0	1	107000
1	1	0	0	1	151000
0	1	1	0	1	93000
0	1	0	1	1	307000
1	1	0	0	1	198000
0	1	0	0	1	108000
0	1	0	0	1	101000
0	1	1	0	1	94000
0	1	0	1	1	221000
1	1	0	0	1	218000
0	1	0	1	1	250000
0	1	0	1	1	254000
1	1	0	0	1	191000
0	1	0	1	1	246000
0	1	0	0	1	115000
1	1	0	0	1	196000
0	1	0	1	1	268000
0	1	0	0	1	116000
0	1	0	0	1	103000
0	1	1	0	1	85000
0	1	0	1	1	221000
0	1	0	0	1	110000
0	1	1	0	1	87000
0	1	0	1	1	274000
0	1	0	0	1	105000
0	1	0	1	1	307000
0	1	1	0	1	88000
0	1	1	0	1	86000
0	1	0	1	1	234000
0	1	0	1	1	266000
0	1	1	0	1	91000
0	1	0	1	1	318000
1	1	0	0	1	196000
0	1	1	0	1	82000
0	1	0	0	1	113000
0	1	0	1	1	267000
0	1	1	0	1	99000
1	1	0	0	1	165000
1	1	0	0	1	196000
0	1	1	0	1	96000
1	1	0	0	1	215000
0	1	0	0	1	101000
1	1	0	0	1	191000
0	1	1	0	1	92000
0	1	0	1	1	301000
0	1	0	1	1	305000
0	1	0	0	1	114000
0	1	0	0	1	112000
0	1	1	0	1	99000
0	1	1	0	1	96000
0	1	1	0	1	85000
1	1	0	0	1	204000
1	1	0	0	1	147000
0	1	0	0	1	101000
0	1	0	0	1	119000
1	1	0	0	1	219000
0	1	0	0	1	105000
0	1	0	0	1	120000
0	1	1	0	1	95000
1	1	0	0	1	194000
0	1	1	0	1	84000
0	1	0	1	1	283000
0	1	0	0	1	114000
0	1	0	1	1	302000
0	1	0	1	1	316000
0	1	0	1	1	279000
0	1	1	0	1	89000
0	1	0	1	1	238000
0	1	0	1	1	277000
0	1	0	0	1	109000
0	1	0	1	1	275000
0	1	0	1	1	274000
0	1	0	0	1	112000
0	1	1	0	1	87000
0	1	1	0	1	80000
0	1	1	0	1	88000
0	1	0	1	1	292000
1	1	0	0	1	167000
1	1	0	0	1	214000
0	1	1	0	1	91000
0	1	0	1	1	269000
1	1	0	0	1	173000
1	1	0	0	1	148000
0	1	1	0	1	98000
1	1	0	0	1	197000
0	1	1	0	1	86000
1	1	0	0	1	201000
0	1	0	0	1	104000
0	1	0	1	1	281000
0	1	0	1	1	234000
1	1	0	0	1	141000
0	1	0	0	1	116000
1	1	0	0	1	149000
0	1	0	1	1	297000
0	1	1	0	1	99000
1	1	0	0	1	200000
1	1	0	0	1	212000
0	1	0	1	1	297000
0	1	1	0	1	93000
0	1	0	0	1	108000
0	1	0	0	1	112000
0	1	1	0	1	93000
1	1	0	0	1	212000
1	1	0	0	1	151000
0	1	1	0	1	86000
1	1	0	0	1	193000
0	1	0	0	1	113000
0	1	0	1	1	298000
0	1	0	0	1	120000
0	1	0	0	1	107000
0	1	0	1	1	230000
0	1	0	0	1	116000
0	1	0	0	1	101000
0	1	0	1	1	285000
0	1	0	1	1	269000
0	1	1	0	1	92000
0	1	0	0	1	111000
0	1	0	1	1	258000
1	1	0	0	1	212000
1	1	0	0	1	156000
0	1	0	0	1	106000
0	1	1	0	1	92000
0	1	0	0	1	103000
1	1	0	0	1	170000
1	1	0	0	1	204000
1	1	0	0	1	142000
0	1	0	1	1	290000
0	1	0	0	1	112000
0	1	1	0	1	82000
0	1	0	0	1	112000
0	1	0	0	1	106000
0	1	1	0	1	83000
0	1	0	1	1	241000
1	1	0	0	1	199000
0	1	0	0	1	101000
0	1	0	1	1	305000
1	1	0	0	1	159000
0	1	1	0	1	92000
1	1	0	0	1	185000
0	1	0	0	1	117000
1	1	0	0	1	192000
1	1	0	0	1	157000
0	1	1	0	1	85000
1	1	0	0	1	196000
1	1	0	0	1	173000
0	1	0	0	1	103000
1	1	0	0	1	216000
0	1	0	1	1	225000
0	1	0	1	1	274000
0	1	0	1	1	229000
0	1	0	0	1	109000
0	1	0	0	1	109000
0	1	1	0	1	98000
0	1	0	0	1	115000
0	1	0	0	1	103000
0	1	1	0	1	88000
0	1	0	1	1	254000
0	1	0	0	1	107000
0	1	0	1	1	223000
0	1	0	1	1	221000
0	1	0	0	1	118000
0	1	0	1	1	241000
0	1	0	1	1	264000
0	1	1	0	1	88000
0	1	0	0	1	107000
0	1	0	0	1	112000
0	1	0	0	1	102000
0	1	0	0	1	109000
0	1	0	0	1	116000
0	1	0	1	1	273000
0	1	0	0	1	117000
0	1	1	0	1	98000
0	1	1	0	1	93000
0	1	0	0	1	109000
0	1	1	0	1	99000
1	1	0	0	1	157000
0	1	0	0	1	108000
0	1	1	0	1	85000
0	1	1	0	1	85000
0	1	0	0	1	104000
1	1	0	0	1	197000
0	1	1	0	1	96000
1	1	0	0	1	216000
0	1	0	0	1	112000
1	1	0	0	1	181000
